date,number,points
2015-09-30 23:55,6,11
2015-09-24 19:30,3,10
2015-09-24 14:25,2,9.5
2015-09-30 17:54,4,11
2015-09-30 22:41,9,10
2015-09-21 17:56,5,11
2015-09-25 12:54,2,9.5
2015-09-24 11:11,5,9
2015-09-21 11:06,1,10
2015-09-21 13:40,3,11
2015-10-01 13:36,3,9.5
2015-09-21 22:25,4,9.5
2015-09-22 23:46,4,12
2015-09-21 21:39,4,11
2015-09-24 20:26,4,9
2015-09-23 12:27,3,10
2015-09-28 12:55,8,10
2015-10-01 17:16,1,9.5
2015-09-21 11:19,4,9.5
2015-09-30 10:31,4,10
2015-09-29 19:51,1,12.5
2015-10-01 23:33,2,9.5
2015-10-02 00:23,1,9.5
2015-09-24 10:43,4,9.5
2015-09-23 12:27,6,9.5
2015-09-30 14:28,7,9
2015-09-20 23:05,2,8
2015-09-29 15:57,7,9.5
2015-09-30 20:46,4,11.5
2015-09-21 17:40,4,9
2015-09-30 11:43,1,9
2015-09-29 22:04,1,9
2015-09-25 14:33,5,9
2015-10-01 04:00,8,10
2015-09-28 18:30,9,10.5
2015-10-01 18:23,3,10.5
2015-10-01 13:48,4,12
2015-09-25 14:34,2,12
2015-09-23 14:48,1,9
2015-09-29 11:21,2,9
2015-09-28 17:03,1,10.5
2015-10-01 14:03,3,8.5
2015-10-01 21:03,1,8.5
2015-10-01 22:03,3,8
2015-09-24 15:45,3,10.5
2015-09-22 10:43,4,9.5
2015-10-01 18:51,1,5
2015-09-27 23:00,2,9.5
2015-10-01 23:06,1,6
2015-09-21 15:21,5,12
2015-09-20 22:16,2,9.5
2015-09-28 19:14,1,9
2015-09-30 19:32,1,8.5
2015-09-24 15:19,2,9.5
2015-10-01 14:15,2,9
2015-09-28 21:56,3,9
2015-10-01 12:20,3,10
2015-09-22 20:30,4,9
2015-09-28 15:45,3,10.5
2015-09-22 16:47,5,9.5
2015-09-29 12:34,2,10.5
2015-09-28 14:56,1,8
2015-09-22 19:40,2,9.5
2015-09-26 14:38,5,12.5
2015-09-25 11:37,3,7
2015-09-28 15:43,1,8.5
2015-09-24 18:11,12,11
2015-09-29 16:11,4,11.5
2015-09-22 14:08,1,11
2015-09-21 12:36,3,10.5
2015-09-30 17:38,2,9.5
2015-09-25 16:47,2,9.5
2015-09-30 13:26,2,9.5
2015-09-30 13:00,4,12
2015-09-28 19:07,6,11.5
2015-09-30 13:19,2,8.5
2015-09-23 13:20,3,7.5
2015-09-25 14:47,6,7
2015-09-23 13:42,1,7.5
2015-10-03 20:18,3,8
2015-10-01 19:33,9,7
2015-09-30 11:41,1,8.5
2015-09-29 12:13,5,8.5
2015-10-01 16:02,5,10
2015-09-21 15:45,1,10
2015-09-28 16:36,13,9
2015-09-25 14:19,1,9
2015-10-01 13:42,3,8
2015-10-01 21:36,4,9.5
2015-09-29 16:17,4,9.5
2015-09-29 17:11,6,10
2015-09-27 09:39,3,9
2015-09-23 14:26,2,10.5
2015-09-27 12:53,1,9
2015-09-30 17:32,2,8.5
2015-09-30 19:34,7,9.5
2015-09-30 13:18,2,10
2015-10-01 11:42,6,9.5
2015-09-23 17:04,4,9
2015-09-29 16:43,2,10
2015-09-28 18:13,2,11
2015-09-29 13:08,3,9
2015-09-21 01:53,2,9.5
2015-09-30 16:06,1,9.5
2015-10-04 19:40,2,10
2015-09-30 14:44,2,9.5
2015-09-23 22:50,1,9
2015-10-02 13:03,4,4.5
2015-09-28 15:42,2,9
2015-10-01 12:37,1,9
2015-09-23 17:46,4,11.5
2015-09-30 13:03,1,9.5
2015-09-25 14:46,1,9.5
2015-09-21 19:07,1,8
2015-10-01 20:35,4,7.5
2015-09-30 17:23,5,10
2015-10-01 15:35,1,7
2015-09-28 12:50,3,9.5
2015-09-21 13:37,1,9
2015-10-02 11:56,1,9.5
2015-10-02 14:40,2,8
2015-09-28 22:25,3,9.5
2015-09-30 20:21,5,10
2015-09-26 11:43,11,9.5
2015-09-30 18:49,6,9
2015-09-25 12:54,7,10
2015-10-01 23:45,3,9.5
2015-09-28 14:57,1,10.5
2015-10-01 20:17,2,9
2015-10-01 11:14,5,9.5
2015-09-30 12:18,2,9
2015-09-30 12:37,7,8
2015-09-25 14:49,4,10
2015-10-01 13:31,2,9
2015-10-01 14:33,3,11
2015-10-01 13:50,1,8.5
2015-09-27 16:35,8,8.5
2015-10-01 21:54,1,8
2015-09-30 18:52,2,7.5
2015-09-30 18:06,3,7.5
2015-10-01 21:50,1,6.5
2015-09-28 17:05,4,8
2015-09-22 04:20,2,9.5
2015-09-21 14:10,7,8.5
2015-10-02 00:37,4,8.5
2015-09-24 21:20,9,11
2015-09-23 12:40,3,8
2015-09-21 18:25,5,10.5
2015-09-21 09:40,2,8.5
2015-09-29 19:48,4,8
2015-10-01 23:50,12,9
