date,number,points
2015-10-15 08:54,31,20
2015-10-09 11:15,26,19
2015-10-14 06:47,26,19
2015-10-15 20:42,5,20
2015-10-14 10:28,14,21
2015-10-06 17:48,46,21
2015-10-15 16:01,12,19
2015-10-12 09:51,35,21
2015-10-05 11:43,6,19
2015-10-15 15:03,20,21
2015-10-15 15:31,3,17
2015-10-12 11:22,10,21
2015-10-05 14:33,28,20
2015-10-08 06:19,15,19
2015-10-04 12:35,16,21
2015-10-13 09:01,12,19
2015-10-09 09:28,30,21
2015-10-13 12:28,14,20
2015-10-19 23:45,7,20
2015-10-12 17:17,17,21
2015-10-14 08:57,12,17
2015-10-09 11:18,10,22
2015-10-15 20:47,6,18
2015-10-20 16:37,1,11
2015-10-08 18:55,41,18
2015-10-15 09:46,25,21
2015-10-14 10:23,34,21
2015-10-04 15:07,19,21
2015-10-14 10:38,22,20
2015-10-26 21:38,2,20
2015-10-14 10:45,11,19
2015-10-15 12:21,15,16
2015-10-15 19:14,2,19
2015-10-14 10:23,34,21
2015-10-15 20:11,14,19
2015-10-13 08:26,34,21
2015-10-14 08:52,21,18
2015-10-14 12:03,9,20
2015-10-20 21:26,1,0
2015-10-05 16:49,23,19
2015-10-12 10:55,15,20
2015-10-09 17:26,25,18
2015-10-14 08:15,10,20
2015-10-15 09:48,32,18
2015-10-15 14:10,20,17
2015-10-16 11:37,3,19
2015-10-12 10:34,14,20
2015-10-15 20:29,13,21
2015-10-15 17:21,12,16
2015-10-14 11:15,14,18
2015-10-16 05:28,33,13
2015-10-13 15:01,42,21
2015-10-11 16:38,35,20
2015-10-09 20:45,3,20
2015-10-15 19:43,12,19
2015-10-12 10:34,14,20
2015-10-15 09:48,32,18
2015-10-13 18:04,25,20
2015-10-09 10:35,16,21
2015-10-14 23:17,9,16
2015-10-09 13:54,17,20
2015-10-15 11:40,23,20
2015-10-12 10:37,10,17
2015-10-13 16:09,25,19
2015-10-13 14:05,37,20
2015-10-08 17:51,34,17
2015-10-05 13:24,25,19
2015-10-09 07:50,31,18
2015-10-14 10:48,9,17
2015-10-08 12:45,10,18
2015-10-07 12:43,10,17
2015-10-15 10:09,16,20
2015-10-08 09:29,22,19
2015-10-16 01:07,3,19
2015-10-09 11:41,7,19
2015-10-14 09:28,12,18
2015-10-12 09:48,46,22
2015-10-11 14:36,31,23
2015-10-11 09:04,28,20
2015-10-14 09:08,30,20
2015-10-13 14:07,30,19
2015-10-15 10:53,9,18
2015-10-14 15:17,19,10
2015-10-13 15:05,31,14
2015-10-14 19:42,20,14
2015-10-13 08:26,34,21
2015-10-16 07:48,27,19
2015-10-09 19:17,12,20
2015-10-15 20:07,4,15
2015-10-15 16:57,16,19
2015-10-09 10:45,16,20
2015-10-15 08:47,11,20
2015-10-11 09:04,28,20
2015-10-14 14:10,26,21
2015-10-13 06:13,18,20
2015-10-12 13:30,10,20
2015-10-05 17:06,12,21
2015-10-15 12:05,17,16
2015-10-14 18:49,53,19
2015-10-15 14:19,12,18
2015-10-14 09:36,18,18
2015-10-10 15:54,16,19
2015-10-15 11:45,10,20
2015-10-12 11:06,20,19
2015-10-14 19:20,89,16
2015-10-07 15:02,34,22
2015-10-14 16:51,15,18
2015-10-14 15:13,18,20
2015-10-14 10:16,8,19
2015-10-16 09:32,11,17
2015-10-14 14:09,23,20
2015-10-14 10:32,14,20
2015-10-14 11:51,17,19
2015-10-10 09:59,31,20
2015-10-16 10:45,6,15
2015-10-16 10:21,6,19
2015-10-11 09:22,17,18
2015-10-15 13:58,24,20
2015-10-07 09:29,31,19
2015-10-11 13:29,5,18
2015-10-12 10:08,10,20
2015-10-05 18:30,15,18
2015-10-17 14:28,4,19
2015-10-15 14:13,6,20
2015-10-14 20:21,4,20
2015-10-13 16:21,17,20
2015-10-14 08:16,15,19
2015-10-14 09:15,13,19
2015-10-14 12:52,6,18
2015-10-12 10:08,10,20
2015-10-14 09:30,17,20
2015-10-14 07:47,23,21
2015-10-07 11:58,84,22
2015-10-14 09:29,21,15
2015-10-15 20:12,10,19
2015-10-15 17:52,22,19
2015-10-14 16:18,8,20
2015-10-15 21:02,31,19
2015-10-14 13:42,32,18
2015-10-14 08:42,25,18
2015-10-14 09:08,30,20
2015-10-16 11:48,3,11
2015-10-07 09:29,31,19
2015-10-16 07:13,7,17
2015-10-15 09:15,8,18
2015-10-15 11:17,14,18
2015-10-16 00:28,3,18
2015-10-07 11:58,84,22
2015-10-15 09:13,62,19
2015-10-14 13:05,7,15
2015-10-13 22:41,11,20
2015-10-16 12:16,2,0
2015-10-05 14:10,13,21
2015-10-13 11:04,14,19
2015-10-15 14:23,7,19
2015-10-12 07:33,4,17
